iso3,year,lays,lays_male,lays_female,pcr_modelled_pct,pcr_pct,pcr_wpia,general_public_services_pct,defense_pct,public_order_safety_pct,economic_affairs_pct,environmental_protection_pct,housing_community_amenities_pct,health_pct,recreation_culture_religion_pct,education_pct,social_protection_pct,sector_sum_pct,education_nec_pct,education_not_definable_by_level_pct,education_total_pct,post_secondary_non_tertiary_pct,ecd_and_primary_pct,education_rnd_pct,secondary_pct,education_subsidiary_services_pct,tertiary_pct,all_staff_pcttotal,capex_pcttotal,currex_pcttotal,expenditure_pctbudget_imf,expenditure_pctbudget_uis,expenditure_pctgdp,expenditure_perchild_ppp,lang_match_pct,teaching_staff_pcttotal,fsi_total,sap,pop_total,sap_share,hh_exp_pct,private_enrolment_pct,debt_pct_gdp,gdp_growth_pct,gdppc_2015_usd,inflation_pct,income_group,lang_frac
ABW,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2217678070068359,0.0675109004974365,,,,,8229.0,101838.0,0.0808048076356566,,74.02110290527344,,-2.73345679250639,25429.2180974853,2.07814071860787,High income,
ABW,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9451332855224608,,1.0,,0.2175053977966309,0.0591466999053955,,,,,8566.0,102591.0,0.0834966030158591,,75.84503936767578,,3.36923718421511,26093.0542083227,4.31629742195203,High income,
ABW,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9241931915283204,0.0,1.0,,0.2063408088684082,0.063472900390625,6981.643066406249,,0.9241931915283204,,8540.0,104110.0,0.0820286235712227,,74.47119903564453,,-1.04079988436683,25444.7336646687,0.627471992893373,High income,
ABW,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.931281280517578,0.0,1.0,,0.2187763023376464,0.0644295978546142,6920.8037109375,,,,8515.0,105675.0,0.0805772415424651,,73.00826263427734,,6.43146080719245,26680.1411206342,-2.37206524252261,High income,
ABW,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9390483856201172,0.0,1.0,,0.1961797904968262,0.0585128021240234,6498.40380859375,,,,8443.0,106807.0,0.0790491259936146,,73.42095184326172,,1.42609864257801,26773.8226808518,0.421440918881214,High income,
ABW,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,0.930911865234375,,1.0,,0.2320137977600098,0.0588826990127563,,,0.930911865234375,,8327.0,107906.0,0.0771690174781754,,,,3.61147995361162,27458.2201537506,0.474763597342641,High income,
ABW,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9304869079589844,,1.0,,0.2185375022888184,0.0549136018753051,,,0.9304869079589844,,8264.0,108727.0,0.0760068796159187,,,,1.23433537363427,27587.2498040483,-0.931195987079561,High income,
ABW,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1852140849515657,0.0445581996127504,,,,,8225.0,108735.0,0.0756426173725111,,,,3.49342985290626,28548.8904317739,-1.02828178762012,High income,
ABW,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2012344033946892,0.0454876355243615,,,,,8090.0,108908.0,0.0742828809637492,,,,3.21247111920076,29419.208623316,3.62604141352961,High income,
ABW,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1940142706009356,0.0443503686776957,,,,,8000.0,109203.0,0.0732580606759887,,,,1.22511225158814,29699.1805366222,4.25746204335428,High income,
ABW,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7878.0,108587.0,0.0725501211010526,,,,-23.8979898352395,22729.8897593533,,High income,
ABW,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1095644296081246,0.0361855755636694,,,,,7733.0,107700.0,0.0718012999071495,,,,14.7306159219273,26292.9179363154,,High income,
ABW,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7517.0,107310.0,0.0700493896188612,,,,10.6364309604414,29195.2670227422,,High income,
ABW,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7370.0,107359.0,0.0686481804040648,,,,7.70679839650956,31430.9353682253,,High income,
ABW,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7166.0,107995.0,0.0663549238390666,,,,6.81077669324542,33373.9174591266,,High income,
ABW,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7632.0,,,,,,,,,,
AFE,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30790438645938,1449.48915951845,5.53753791645676,Aggregates,
AFE,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07747696614018,1468.63057193646,8.97120640995788,Aggregates,
AFE,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89717291956102,1456.72281306529,9.15870843167905,Aggregates,
AFE,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35668249727492,1478.97797685759,5.74883133553454,Aggregates,
AFE,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92038970191821,1495.95557383523,5.52581923392517,Aggregates,
AFE,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93402965863687,1498.8752400759,5.09856164363687,Aggregates,
AFE,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13011703002091,1490.9075460241,6.44687722255584,Aggregates,
AFE,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67752389715308,1490.91109750422,6.22137528933118,Aggregates,
AFE,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70519413363353,1489.94213724372,4.6898064677633,Aggregates,
AFE,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03007686221603,1479.37238691603,4.10285075461156,Aggregates,
AFE,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.81757208724623,1399.39849841898,5.19162942092851,Aggregates,
AFE,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57877206871177,1425.2090572764,6.82472709282067,Aggregates,
AFE,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72271692296214,1440.43036630175,10.8834775726018,Aggregates,
AFE,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9311603523693,1431.72178996886,7.39918558080627,Aggregates,
AFE,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76383869054277,1435.35627774336,4.48978854243448,Aggregates,
AFG,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61
AFG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61
AFG,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61
AFG,2003,,,,,,,0.157028520457887,0.196135303765077,0.176660555835287,0.237242335735572,0.0,0.0067266016072564,0.0396441801163765,0.0166570110853355,0.128061805368063,0.0183380549251613,0.9764943688960156,,,1.0,,,,0.9727819226126868,,0.0254261767794106,,,,,,,,,,,,,,,,,,,,,0.61
AFG,2004,,,,,,,0.070504291118962,0.127300023420058,0.180165178675502,0.377391093610799,0.0,0.0190035042309089,0.0498816043789973,0.0142997318835587,0.12946658653466,0.0319879861465546,1.0000000000000009,,,1.0,,0.0,,0.9574761059931542,,0.0398030085633459,,,,,,,,,,,,,,,,,,,,,0.61
AFG,2005,,,,,,,0.104782296685543,0.113602194236762,0.162787473594659,0.361238253510891,0.0019745205002656,0.007787318818127,0.042357985778084,0.0131993066216804,0.150835783279549,0.0414348669744384,1.0,,,1.0,,0.004859996603322,,,,0.0460056235333618,,,,,,,,,,,,,,,,,,,,,0.61
AFG,2006,,,,,,,0.109662312663437,0.0684630832558248,0.0971345044339749,0.465880039094788,0.0166911454846346,0.0161546347510791,0.0431095810530298,0.0097254927278692,0.145592117941593,0.0275876155756912,1.0000005269819217,0.0,0.0,1.0,0.0,0.3715024659428283,0.0,0.0159067200799965,0.0,0.0915207367582883,,,,,,,,,,,,,,,,,,,,,0.61
AFG,2007,,,,,,,0.108209650456363,0.0773539335967631,0.0905331624207382,0.471101282966548,0.0036839547084783,0.0320131998133724,0.0615589888485298,0.0122324399739208,0.108146920706438,0.0351664665088456,0.9999999999999972,0.0,0.0,1.0,0.0,0.4961635625769084,0.0,0.2083516479570401,0.0,0.1189522126308945,,,,,,,,,,,,,,,,,,,,,0.61
AFG,2008,,,,,,,0.0313503225823767,0.478218668018144,0.236183402214321,0.142715540287994,0.0015530366571317,0.0116316377625054,0.0256499195802473,0.004273362114067,0.0486058590791011,0.0198182517041115,1.0,0.0,0.0,1.0,0.0,0.4701817738282232,0.0,0.227923867341056,0.0,0.1343770427576555,,,,,,,,,,,,,,,,,,,,,0.61
