iso3,country_name,wb_income_group
ABW,Aruba,High income
AFE,Africa Eastern and Southern,Aggregates
AFG,Afghanistan,Low income
AFW,Africa Western and Central,Aggregates
AGO,Angola,Lower middle income
ALB,Albania,Upper middle income
AND,Andorra,High income
ARB,Arab World,Aggregates
ARE,United Arab Emirates,High income
ARG,Argentina,Upper middle income
ARM,Armenia,Upper middle income
ASM,American Samoa,High income
ATG,Antigua and Barbuda,High income
AUS,Australia,High income
AUT,Austria,High income
AZE,Azerbaijan,Upper middle income
BDI,Burundi,Low income
BEL,Belgium,High income
BEN,Benin,Lower middle income
BFA,Burkina Faso,Low income
BGD,Bangladesh,Lower middle income
BGR,Bulgaria,High income
BHR,Bahrain,High income
BHS,"Bahamas, The",High income
BIH,Bosnia and Herzegovina,Upper middle income
BLR,Belarus,Upper middle income
BLZ,Belize,Upper middle income
BMU,Bermuda,High income
BOL,Bolivia,Lower middle income
BRA,Brazil,Upper middle income
BRB,Barbados,High income
BRN,Brunei Darussalam,High income
BTN,Bhutan,Lower middle income
BWA,Botswana,Upper middle income
CAF,Central African Republic,Low income
CAN,Canada,High income
CEB,Central Europe and the Baltics,Aggregates
CHE,Switzerland,High income
CHI,Channel Islands,High income
CHL,Chile,High income
CHN,China,Upper middle income
CIV,Cote d'Ivoire,Lower middle income
CMR,Cameroon,Lower middle income
COD,"Congo, Dem. Rep.",Low income
COG,"Congo, Rep.",Lower middle income
COL,Colombia,Upper middle income
COM,Comoros,Lower middle income
CPV,Cabo Verde,Upper middle income
CRI,Costa Rica,High income
CSS,Caribbean small states,Aggregates
CUB,Cuba,Upper middle income
CUW,Curacao,High income
CYM,Cayman Islands,High income
CYP,Cyprus,High income
CZE,Czechia,High income
DEU,Germany,High income
DJI,Djibouti,Lower middle income
DMA,Dominica,Upper middle income
DNK,Denmark,High income
DOM,Dominican Republic,Upper middle income
DZA,Algeria,Upper middle income
EAP,East Asia & Pacific (excluding high income),Aggregates
EAR,Early-demographic dividend,Aggregates
EAS,East Asia & Pacific,Aggregates
ECA,Europe & Central Asia (excluding high income),Aggregates
ECS,Europe & Central Asia,Aggregates
ECU,Ecuador,Upper middle income
EGY,"Egypt, Arab Rep.",Lower middle income
EMU,Euro area,Aggregates
ERI,Eritrea,Low income
ESP,Spain,High income
EST,Estonia,High income
ETH,Ethiopia,Not classified
EUU,European Union,Aggregates
FCS,Fragile and conflict affected situations,Aggregates
FIN,Finland,High income
FJI,Fiji,Upper middle income
FRA,France,High income
FRO,Faroe Islands,High income
FSM,"Micronesia, Fed. Sts.",Lower middle income
GAB,Gabon,Upper middle income
GBR,United Kingdom,High income
GEO,Georgia,Upper middle income
GHA,Ghana,Lower middle income
GIN,Guinea,Lower middle income
GMB,"Gambia, The",Low income
GNB,Guinea-Bissau,Low income
GNQ,Equatorial Guinea,Upper middle income
GRC,Greece,High income
GRD,Grenada,Upper middle income
GRL,Greenland,High income
GTM,Guatemala,Upper middle income
