iso3,year,lang_frac
AFG,2000,0.61
AFG,2001,0.61
AFG,2002,0.61
AFG,2003,0.61
AFG,2004,0.61
AFG,2005,0.61
AFG,2006,0.61
AFG,2007,0.61
AFG,2008,0.61
AFG,2009,0.61
AFG,2010,0.61
AFG,2011,0.61
AFG,2012,0.61
AFG,2013,0.61
AFG,2014,0.61
AFG,2015,0.61
AFG,2016,0.61
AFG,2017,0.61
AFG,2018,0.61
AFG,2019,0.61
AFG,2020,0.61
AFG,2021,0.61
AFG,2022,0.61
AFG,2023,0.61
AFG,2024,0.61
AFG,2025,0.61
ALB,2000,0.04
ALB,2001,0.04
ALB,2002,0.04
ALB,2003,0.04
ALB,2004,0.04
ALB,2005,0.04
ALB,2006,0.04
ALB,2007,0.04
ALB,2008,0.04
ALB,2009,0.04
ALB,2010,0.04
ALB,2011,0.04
ALB,2012,0.04
ALB,2013,0.04
ALB,2014,0.04
ALB,2015,0.04
ALB,2016,0.04
ALB,2017,0.04
ALB,2018,0.04
ALB,2019,0.04
ALB,2020,0.04
ALB,2021,0.04
ALB,2022,0.04
ALB,2023,0.04
ALB,2024,0.04
ALB,2025,0.04
DZA,2000,0.44
DZA,2001,0.44
DZA,2002,0.44
DZA,2003,0.44
DZA,2004,0.44
DZA,2005,0.44
DZA,2006,0.44
DZA,2007,0.44
DZA,2008,0.44
DZA,2009,0.44
DZA,2010,0.44
DZA,2011,0.44
DZA,2012,0.44
DZA,2013,0.44
DZA,2014,0.44
DZA,2015,0.44
DZA,2016,0.44
DZA,2017,0.44
DZA,2018,0.44
DZA,2019,0.44
DZA,2020,0.44
DZA,2021,0.44
DZA,2022,0.44
DZA,2023,0.44
DZA,2024,0.44
DZA,2025,0.44
AND,2000,0.68
AND,2001,0.68
AND,2002,0.68
AND,2003,0.68
AND,2004,0.68
AND,2005,0.68
AND,2006,0.68
AND,2007,0.68
AND,2008,0.68
AND,2009,0.68
AND,2010,0.68
AND,2011,0.68
AND,2012,0.68
AND,2013,0.68
AND,2014,0.68
AND,2015,0.68
AND,2016,0.68
AND,2017,0.68
AND,2018,0.68
AND,2019,0.68
AND,2020,0.68
AND,2021,0.68
AND,2022,0.68
AND,2023,0.68
AND,2024,0.68
AND,2025,0.68
AGO,2000,0.79
AGO,2001,0.79
AGO,2002,0.79
AGO,2003,0.79
AGO,2004,0.79
AGO,2005,0.79
AGO,2006,0.79
AGO,2007,0.79
AGO,2008,0.79
AGO,2009,0.79
AGO,2010,0.79
AGO,2011,0.79
AGO,2012,0.79
AGO,2013,0.79
AGO,2014,0.79
AGO,2015,0.79
AGO,2016,0.79
AGO,2017,0.79
AGO,2018,0.79
AGO,2019,0.79
AGO,2020,0.79
AGO,2021,0.79
AGO,2022,0.79
AGO,2023,0.79
AGO,2024,0.79
AGO,2025,0.79
ATG,2000,0.11
ATG,2001,0.11
ATG,2002,0.11
ATG,2003,0.11
ATG,2004,0.11
ATG,2005,0.11
ATG,2006,0.11
ATG,2007,0.11
ATG,2008,0.11
ATG,2009,0.11
ATG,2010,0.11
ATG,2011,0.11
ATG,2012,0.11
ATG,2013,0.11
ATG,2014,0.11
ATG,2015,0.11
ATG,2016,0.11
ATG,2017,0.11
ATG,2018,0.11
ATG,2019,0.11
ATG,2020,0.11
ATG,2021,0.11
ATG,2022,0.11
ATG,2023,0.11
ATG,2024,0.11
ATG,2025,0.11
AZE,2000,0.21
AZE,2001,0.21
AZE,2002,0.21
AZE,2003,0.21
AZE,2004,0.21
AZE,2005,0.21
AZE,2006,0.21
AZE,2007,0.21
AZE,2008,0.21
AZE,2009,0.21
AZE,2010,0.21
AZE,2011,0.21
AZE,2012,0.21
AZE,2013,0.21
AZE,2014,0.21
AZE,2015,0.21
AZE,2016,0.21
AZE,2017,0.21
AZE,2018,0.21
AZE,2019,0.21
AZE,2020,0.21
AZE,2021,0.21
AZE,2022,0.21
AZE,2023,0.21
AZE,2024,0.21
AZE,2025,0.21
ARG,2000,0.06
ARG,2001,0.06
ARG,2002,0.06
ARG,2003,0.06
ARG,2004,0.06
ARG,2005,0.06
ARG,2006,0.06
ARG,2007,0.06
ARG,2008,0.06
ARG,2009,0.06
ARG,2010,0.06
ARG,2011,0.06
ARG,2012,0.06
ARG,2013,0.06
ARG,2014,0.06
ARG,2015,0.06
ARG,2016,0.06
ARG,2017,0.06
ARG,2018,0.06
ARG,2019,0.06
ARG,2020,0.06
ARG,2021,0.06
ARG,2022,0.06
ARG,2023,0.06
ARG,2024,0.06
ARG,2025,0.06
AUS,2000,0.33
AUS,2001,0.33
AUS,2002,0.33
AUS,2003,0.33
AUS,2004,0.33
AUS,2005,0.33
AUS,2006,0.33
AUS,2007,0.33
AUS,2008,0.33
AUS,2009,0.33
AUS,2010,0.33
AUS,2011,0.33
AUS,2012,0.33
AUS,2013,0.33
AUS,2014,0.33
AUS,2015,0.33
AUS,2016,0.33
AUS,2017,0.33
AUS,2018,0.33
AUS,2019,0.33
AUS,2020,0.33
AUS,2021,0.33
AUS,2022,0.33
AUS,2023,0.33
AUS,2024,0.33
AUS,2025,0.33
AUT,2000,0.15
AUT,2001,0.15
AUT,2002,0.15
AUT,2003,0.15
AUT,2004,0.15
AUT,2005,0.15
AUT,2006,0.15
AUT,2007,0.15
AUT,2008,0.15
AUT,2009,0.15
AUT,2010,0.15
