iso3,year,lays,lays_male,lays_female
AFG,2017,4.52,5.27,3.77
AFG,2018,4.6354704,5.463747,3.8071938
AFG,2020,4.700961449999999,5.527435,3.8744879
ALB,2010,7.39518545,7.0276556,7.7627153
ALB,2017,8.92,8.66,9.18
ALB,2018,8.8724485,8.345028,9.399869
ALB,2020,8.979826500000001,8.526799,9.432854
DZA,2010,7.1860788,6.9997063,7.3724513
DZA,2017,6.855,6.45,7.26
DZA,2018,7.062015649999999,6.6964593,7.427572
DZA,2020,7.11127205,6.7111835,7.5113606
AGO,2017,4.11,4.54,3.68
AGO,2018,4.229522449999999,4.8334565,3.6255884
AGO,2020,4.229522449999999,4.8334565,3.6255884
ATG,2018,8.09939065,7.8709273,8.327854
ATG,2020,8.457797500000002,8.033772,8.881823
ARG,2010,8.236023,7.908725,8.563321
ARG,2017,8.870000000000001,8.77,8.97
ARG,2018,8.739018,8.681369,8.796667
ARG,2020,8.413245499999999,8.332441,8.49405
ARM,2017,7.865,7.66,8.07
ARM,2018,8.0842923,7.8404016,8.328183
ARM,2020,8.0091375,7.767738,8.250537
AUS,2010,11.055516999999998,10.926279,11.184755
AUS,2017,11.55,11.45,11.65
AUS,2018,11.409845,11.303867,11.515823
AUS,2020,11.2243475,11.124339,11.324356
AUT,2010,10.8444875,10.786446,10.902529
AUT,2017,11.64,11.72,11.56
AUT,2018,11.276941749999999,11.2629595,11.290924
AUT,2020,10.9078225,10.83462,10.981025
AZE,2010,6.8758652,6.8708744,6.880856
AZE,2018,9.383542,9.223233,9.543851
AZE,2020,8.2827775,8.233573,8.331982
BHR,2010,8.434067800000001,7.9549346,8.913201
BHR,2017,9.61,9.13,10.09
BHR,2018,9.52973325,9.074978,9.9844885
BHR,2020,9.3055205,8.790573,9.820468
BGD,2017,6.475,6.25,6.7
BGD,2018,5.99997125,5.7743125,6.22563
BGD,2020,5.99368025,5.755271,6.2320895
BLR,2020,10.785105999999999,10.767961,10.802251
BEL,2010,11.160919499999999,11.118853,11.202986
BEL,2017,11.14,11.15,11.13
BEL,2018,11.2390975,11.244371,11.233824
BEL,2020,11.182817,11.133062,11.232572
BEN,2010,4.962469349999999,5.4381127,4.486826
BEN,2017,5.72,6.01,5.43
BEN,2018,5.64020575,5.887923,5.3924885
BEN,2020,5.6613430000000005,5.904914,5.417772
BTN,2020,6.210844,6.081756,6.339932
BIH,2017,8.64,8.6,8.68
BIH,2018,8.641699,8.604074,8.679324
BIH,2020,7.8076024,7.6777635,7.9374413
BWA,2010,5.1151628,4.709,5.5213256
BWA,2017,5.275,4.89,5.66
BWA,2018,5.0809085,4.703081,5.458736
BWA,2020,5.0896995,4.70835,5.471049
BRN,2020,9.2250895,8.974505,9.475674
BGR,2010,9.232778750000001,8.9571705,9.508387
BGR,2017,10.29,10.17,10.41
BGR,2018,9.804918,9.694421,9.915415
BGR,2020,8.696918,8.55198,8.841856
BFA,2010,3.16390495,3.3951252,2.9326847
BFA,2017,4.205,4.28,4.13
BFA,2018,4.35270525,4.415453,4.2899575
BFA,2020,4.5341640000000005,4.581377,4.486951
BDI,2010,4.35911425,4.5304785,4.18775
BDI,2017,5.09,5.12,5.06
BDI,2018,5.3939182500000005,5.1229715,5.664865
BDI,2020,5.18055605,4.8930397,5.4680724
CMR,2010,5.45076655,5.7859435,5.1155896
CMR,2017,5.495,5.69,5.3
CMR,2018,5.2891985,5.485267,5.09313
CMR,2020,5.2871468,5.483067,5.0912266
CAN,2010,11.427762999999999,11.372249,11.483277
CAN,2017,11.739999999999998,11.7,11.78
CAN,2018,11.785178,11.745939,11.824417
CAN,2020,11.7244615,11.635824,11.813099
TCD,2010,2.77094885,3.3469667,2.194931
TCD,2017,2.625,3.03,2.22
TCD,2018,2.8601887,3.4060347,2.3143427
TCD,2020,2.81908475,3.3657703,2.2723992
CHL,2010,9.0222975,8.950846,9.093749
CHL,2017,9.575,9.54,9.61
CHL,2018,9.690109,9.674671,9.705547
CHL,2020,9.408777,9.342577,9.474977
CHN,2017,9.67,9.62,9.72
CHN,2018,9.173331999999998,9.109903,9.236761
CHN,2020,9.2637025,9.217584,9.309821
COL,2010,8.2355315,8.334915,8.136148
COL,2017,8.46,8.4,8.52
COL,2018,8.5237355,8.456734,8.590737
COL,2020,8.624707999999998,8.629048,8.620368
COM,2017,5.32,5.52,5.12
COM,2018,5.07883235,5.1262517,5.031413
COM,2020,5.14383735,5.115803,5.1718717
COG,2010,5.593246000000001,5.7018414,5.4846506
COG,2017,5.215,5.13,5.3
COG,2018,5.28083015,5.1852517,5.3764086
COG,2020,5.28083015,5.1852517,5.3764086
CRI,2010,8.4552835,8.420094,8.490473
CRI,2017,8.575,8.54,8.61
CRI,2018,8.502531999999999,8.469724,8.53534
CRI,2020,8.995286499999999,8.953508,9.037065
CIV,2010,3.0226817500000003,3.392501,2.6528625
CIV,2017,4.21,4.53,3.89
CIV,2018,4.550587,4.881566,4.219608
CIV,2020,4.81112085,5.108289,4.5139527
HRV,2010,10.3405615,9.963858,10.717265
HRV,2017,10.75,10.64,10.86
HRV,2018,10.811341500000001,10.709509,10.913174
HRV,2020,10.449868500000001,10.22708,10.672657
CYP,2010,9.812151,9.54743,10.076872
CYP,2017,10.864999999999998,10.87,10.86
CYP,2018,10.916955999999999,10.928385,10.905527
CYP,2020,10.916955999999999,10.928385,10.905527
CZE,2010,10.855344500000001,10.675679,11.03501
CZE,2017,11.649999999999999,11.61,11.69
CZE,2018,11.3372985,11.279983,11.394614
CZE,2020,11.1200605,10.975594,11.264527
COD,2017,4.675000000000001,4.87,4.48
COD,2018,4.53438615,4.7328806,4.3358917
COD,2020,4.53438615,4.7328806,4.3358917
DNK,2010,11.092197500000001,11.063878,11.120517
DNK,2017,11.415,11.32,11.51
DNK,2018,11.3755475,11.279609,11.471486
DNK,2020,11.101379,10.941179,11.261579
DMA,2018,8.18062015,7.8964453,8.464795
DMA,2020,8.03361035,7.6774087,8.389812
DOM,2017,6.325,6.12,6.53
DOM,2018,6.684101,6.45456,6.913642
DOM,2020,6.562859100000001,6.2982326,6.8274856
TLS,2010,5.601970700000001,5.504037,5.6999044
TLS,2017,5.865,5.6,6.13
TLS,2018,6.3036460000000005,6.034388,6.572904
TLS,2020,6.3037728,6.017503,6.5900426
ECU,2010,7.3430423,7.24065,7.4454346
ECU,2017,8.86,8.74,8.98
ECU,2018,8.7557085,8.601527,8.90989
ECU,2020,8.698286249999999,8.5295315,8.867041
EGY,2010,6.48651025,6.389821,6.5831995
EGY,2017,6.34,6.07,6.61
EGY,2018,6.5063235,6.240207,6.77244
EGY,2020,6.531636,6.254447,6.808825
SLV,2017,6.55,6.64,6.46
SLV,2018,7.6396125,7.587722,7.691503
SLV,2020,7.6414758,7.525254,7.7576976
EST,2010,11.247658000000001,11.053801,11.441515
EST,2017,11.36,11.23,11.49
EST,2018,11.696003999999999,11.589004,11.803004
EST,2020,11.7210805,11.585101,11.85706
SWZ,2010,4.05207125,3.9148855,4.189257
ETH,2017,4.51,4.72,4.3
ETH,2018,4.4882987,4.6978164,4.278781
ETH,2020,4.34815815,4.5540633,4.142253
FJI,2020,6.9645413000000005,6.615894,7.3131886
FIN,2010,12.209929500000001,11.948909,12.47095
FIN,2017,12.055,11.82,12.29
FIN,2018,12.0534675,11.829984,12.276951
FIN,2020,11.744425,11.441726,12.047124
