index,iso3,start_year,end_year,baseline_lays,delta_lays,baseline_lays_male,delta_lays_male,baseline_lays_female,delta_lays_female,baseline_pcr_modelled_pct,delta_pcr_modelled_pct,baseline_pcr_pct,delta_pcr_pct,baseline_pcr_wpia,delta_pcr_wpia,baseline_general_public_services_pct,delta_general_public_services_pct,baseline_defense_pct,delta_defense_pct,baseline_public_order_safety_pct,delta_public_order_safety_pct,baseline_economic_affairs_pct,delta_economic_affairs_pct,baseline_environmental_protection_pct,delta_environmental_protection_pct,baseline_housing_community_amenities_pct,delta_housing_community_amenities_pct,baseline_health_pct,delta_health_pct,baseline_recreation_culture_religion_pct,delta_recreation_culture_religion_pct,baseline_education_pct,delta_education_pct,baseline_social_protection_pct,delta_social_protection_pct,baseline_sector_sum_pct,delta_sector_sum_pct,baseline_education_nec_pct,delta_education_nec_pct,baseline_education_not_definable_by_level_pct,delta_education_not_definable_by_level_pct,baseline_education_total_pct,delta_education_total_pct,baseline_post_secondary_non_tertiary_pct,delta_post_secondary_non_tertiary_pct,baseline_ecd_and_primary_pct,delta_ecd_and_primary_pct,baseline_education_rnd_pct,delta_education_rnd_pct,baseline_secondary_pct,delta_secondary_pct,baseline_education_subsidiary_services_pct,delta_education_subsidiary_services_pct,baseline_tertiary_pct,delta_tertiary_pct,baseline_all_staff_pcttotal,delta_all_staff_pcttotal,baseline_capex_pcttotal,delta_capex_pcttotal,baseline_currex_pcttotal,delta_currex_pcttotal,baseline_expenditure_pctbudget_imf,delta_expenditure_pctbudget_imf,baseline_expenditure_pctbudget_uis,delta_expenditure_pctbudget_uis,baseline_expenditure_pctgdp,delta_expenditure_pctgdp,baseline_expenditure_perchild_ppp,delta_expenditure_perchild_ppp,baseline_lang_match_pct,delta_lang_match_pct,baseline_teaching_staff_pcttotal,delta_teaching_staff_pcttotal,baseline_fsi_total,delta_fsi_total,baseline_sap,delta_sap,baseline_pop_total,delta_pop_total,baseline_sap_share,delta_sap_share,baseline_hh_exp_pct,delta_hh_exp_pct,baseline_private_enrolment_pct,delta_private_enrolment_pct,baseline_debt_pct_gdp,delta_debt_pct_gdp,baseline_gdp_growth_pct,delta_gdp_growth_pct,baseline_gdppc_2015_usd,delta_gdppc_2015_usd,baseline_inflation_pct,delta_inflation_pct,baseline_lang_frac,delta_lang_frac,income_group,panel
0,ALB,2010,2017,7.39518545,0.21783065000000004,7.0276556,0.23319205714285715,7.7627153,0.20246924285714282,97.95999908447266,-0.08857182094029017,,,,,0.197190324945028,-0.0030259869001207124,0.0361728696690827,-0.0017170104430246859,0.0524608410022531,0.0009298051869319994,0.1429513804055705,-0.003395273712605687,0.0003746233406629,0.0008468317319049429,0.0634742242853652,0.002017998693107842,0.0886554279664467,0.0016277504287142439,0.010641474604338,0.0005093942698178999,0.1148573445177403,-0.0013079198150757715,0.277145261557673,0.005811014518326988,0.9839237722941608,0.002296603957977023,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.1148573445,-0.0013079198142857149,,,,,,,,,,,,,225092.0,-8461.0,2913021.0,-37819.42857142857,0.0772709843149088,-0.00209141218866487,,,5.192609786987305,0.3140457698277065,,,2.97315442681247,0.044288786641180015,3579.82413181046,152.62952211373144,3.6271009151748,-0.23434851192326572,0.04,0.0,Upper middle income,1
1,ARG,2010,2017,8.236023,0.09056814285714308,7.908725,0.12303928571428571,8.563321,0.058097000000000065,95.37999725341795,0.10714285714285714,92.67375183105467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8587178039550781,-0.005327584402901787,0.0421950006484985,0.009552486283438544,0.9578050231933594,-0.009552492414202005,,,0.1504796981811523,-0.0025486428397042443,0.0501972007751464,0.0006208712714058998,4268.916015625,65.75258091517857,,,0.6174644088745117,-0.0025532586233956473,,,4187912.0,19785.14285714286,41288694.0,428600.0,0.1014299943708561,-0.0005348463371021731,0.700502012014772,0.03248290024479434,23.63710021972656,0.4309300013950903,,,10.1253981561002,-1.0438421683344314,13387.1553748458,18.99394425287132,,,0.06,0.0,Upper middle income,1
2,AUS,2010,2017,11.055516999999998,0.07064042857142892,10.926279,0.07481728571428573,11.184755,0.06646357142857161,99.26000213623048,0.017142159598210225,99.58,,0.9861529469490052,,0.106991989980847,0.0009926412874432858,0.0493940982456284,0.00040152596742360034,0.0478581816624206,0.00011981602763364316,0.119116144257854,-0.0016526922674651426,0.0202483983021289,0.00022829517774507153,0.0199016442262387,-0.000988591760627343,0.178617103950753,0.0029508014008194283,0.0243788512649385,-0.0003175199423064147,0.171157811859397,-0.0032374205551442825,0.2623337365199349,0.0015029935585688659,0.999997960270141,-1.5110590927720174e-07,0.0824673467442085,7.429647076877266e-05,0.0464415101534942,-0.0028590274303494146,1.0,0.0,0.0849103823052725,-0.00229504908741127,0.2822957383926024,-0.0021530631230643154,0.0,0.0,0.2510248832109834,-0.0006447923370624982,0.0173395938602345,-0.00017663815717982846,0.2355205453332068,0.008054273664297756,,,,,,,0.1711578119,-0.0032374205571428583,,,,,,,,,,,,,1910177.0,41793.71428571428,22031750.0,365834.0,0.0867011018189658,0.000409696751024115,,,30.87215042114258,-0.1512957981654576,28.5706752868622,3.504731767265814,2.21004795300735,0.011894621274547148,53768.349733441,603.3459448417145,2.91834002677376,-0.13852751676121283,0.33,0.0,High income,1
3,AUT,2010,2017,10.8444875,0.113644642857143,10.786446,0.13336485714285726,10.902529,0.09392442857142871,99.94000244140624,0.0,99.045,-0.012142857142858279,,,0.1434387454774875,-0.0033162359135968994,0.0123554939849562,-1.924405769939993e-05,0.0255983268745457,0.0002828865148417427,0.1270080134225721,-0.0007727745472166846,0.0104546094917635,-0.0004740143495200714,0.0076378013647166,-0.00010639546587481437,0.1529192409937685,0.001934789456559243,0.0248136505353511,-0.00011774873777757154,0.0967995694935602,0.00015469231885072949,0.3989746121664775,0.0024340356664052576,1.0000000638051991,-9.11502847803344e-09,0.0219911397386216,-0.0008283594249605432,0.0463453234469989,-0.00020861720217828526,1.0,0.0,0.0029457304046968,-9.133775521994287e-05,0.2768274701060106,0.003413468888299853,0.0069072071852356,8.432842215827147e-05,0.4607836868890938,-0.0036837690473124907,0.041988358135957,0.0002998014008173717,0.1422117432409362,0.0010143107190167572,0.7019281005859375,-0.0036564527239118278,0.0491728019714355,0.0025386428833007865,0.9508271789550782,-0.0025386374337332818,0.0968878102,0.0001866148357142871,0.1075069046020508,0.00013108525957379998,0.0573625993728637,-0.0004777853829519999,16401.53515625,-66.248046875,,,0.5960948944091797,-0.002428785051618302,,,325297.0,853.8571428571429,8363404.0,62023.142857142855,0.0388952871342816,-0.00017715704634008574,0.2007043063640594,0.04447320955140251,5.74029016494751,0.0675342423575265,,,1.80898243043663,0.06618106999220573,43035.4073531933,288.7473197211283,1.81353438995062,0.03824781770074998,0.15,0.0,High income,1
4,BDI,2010,2017,4.35911425,0.10441224999999996,4.5304785,0.08421735714285715,4.18775,0.12460714285714276,30.61000061035156,2.3285713195800786,39.82950973510742,1.472987038748606,0.3858000040054321,0.003504284790584035,0.172200631728654,,0.056307287759017,,0.0355260708611024,,0.0509732351841439,,0.0049546966701946,,0.0039227766343084,,0.0617830784641717,,0.0017007925143461,,0.149610544245812,,0.0068114832137128,,0.5437905972754632,,0.0,,0.0,,1.0,,0.0,,0.4902948166312947,,0.0,,0.3615208618627577,,0.0,,0.1481839875204491,,0.6847868347167969,,0.0785703992843628,,0.9214295959472656,,0.1496105442,,0.1658810043334961,0.004538214547293529,0.06775239944458,-0.002876028333391458,,,,,0.5992277908325195,,,,1368648.0,86884.42857142857,9376444.0,304331.14285714284,0.1459666372454205,0.00369019842763027,1.384127020835876,,1.106889963150024,0.11332001004900258,,,5.09373697323055,-0.1802684862817843,253.308577749924,1.2024659341199992,6.49326591473993,1.3656099126141814,0.3,0.0,Low income,1
5,BEL,2010,2017,11.1609195,-0.0029884999999999656,11.118853,0.004449571428571529,11.202986,-0.010426571428571205,98.19000244140624,0.05999973842076096,,,,,0.1609029447783178,-0.003112996407163599,0.0180301829687293,-0.0004059967644797429,0.0336790595755746,-0.00020796163934115697,0.1266997014809467,-0.0004196743367682272,0.0231141519897779,0.00017813494753571402,0.0074571009779142,-0.0002420856513735714,0.1439241946550631,0.00011892836158623148,0.0240036294358281,3.9664878237871084e-05,0.111939791419838,0.0010721975495057157,0.3502482209173828,0.002979996665469347,0.9999989781993726,2.0760320859228694e-07,0.0234592862717534,-0.0006909177865268285,0.0729656828067164,0.002611611887528713,1.0,0.0,0.0001597422216948,9.89516923898e-05,0.3220905236350026,0.0002924227182807667,0.0002555875547117,6.382748271857109e-07,0.4076073810034548,-0.002990023948911767,0.0284888842234017,0.0015610828825561,0.1449820404102179,-0.0008855857213725274,0.8428350830078125,-0.004820109776088171,0.0377705001831054,0.0019309003012521,0.9622295379638672,-0.0019309016636439738,0.1121544495,0.001087745957142856,0.1194892024993896,0.0005613422393798853,0.0644078016281128,1.1957032339899548e-05,,,,,0.6273331832885742,-0.003230383736746651,,,715751.0,11055.57142857143,10895586.0,68510.28571428571,0.0656918315361835,0.0005762561962596704,0.6343454122543335,-0.006703461919512067,53.82946014404297,0.08641542707170759,,,2.71031150254662,-0.17654912671125284,39991.5646206286,232.5377155057722,2.18929920422457,-0.009046906314071393,0.54,0.0,High income,1
6,BEN,2010,2017,4.962469349999999,0.10821866428571436,5.4381127,0.08169818571428575,4.486826,0.13473914285714286,51.25,1.0842857360839844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8565455627441406,,0.0815151977539062,,0.9184848022460936,,,,0.2614396095275879,-0.008949015481131414,0.0367997002601623,-0.00020625727517264297,323.1785583496094,,,,0.8082443237304687,,,,1585110.0,50145.71428571428,9797484.0,320328.0,0.1617874548200334,-0.00013948241096411223,,,13.19647026062012,1.4334114619663783,,,2.11406472648392,0.5082138892886457,928.246655329144,14.951150944668013,2.20783532536524,-0.30922435283641125,0.79,0.0,Lower middle income,1
7,BFA,2010,2017,3.16390495,0.1487278642857143,3.3951252,0.12641068571428576,2.9326847,0.17104504285714286,32.90000152587891,3.144285474504742,30.90797996520996,,0.1715700030326843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1617281913757323,0.007530258723667713,0.0350222992897033,0.0030374857357570143,347.2294311523438,,,,,,,,2679950.0,102449.28571428571,16176498.0,531129.8571428572,0.1656693556293828,0.0007267039689045431,,,14.16574001312256,0.8467686516898011,,,8.44628157707625,-0.32039888083679585,561.847221302489,15.347012717977723,-0.764230734676768,0.3210328151842897,0.72,0.0,Low income,1
8,BGR,2010,2017,9.23277875,0.15103160714285707,8.9571705,0.17326135714285712,9.508387,0.12880185714285705,98.80999755859376,0.019999912806919644,98.235,0.02428571428571453,,,0.1054248464125297,-0.0019248892742848558,0.0463102735061853,-0.0021999941388443855,0.0691537733369403,0.00027231301971345726,0.1382991619895888,-0.002734681981970571,0.0183948892283475,0.00012684929720134272,0.0262894942639155,0.0026061057528713,0.1219398672604747,0.0025206746040177847,0.019689639618143,0.0013739890077577573,0.0988110665421842,0.00038820063068251343,0.3556869878416907,-0.00042943140250793565,1.0,-8.644853635957668e-07,0.0379159285402685,0.004467202361661272,0.0026095937803373,9.732064676128559e-06,1.0,0.0,,,0.2004942565386565,0.0006961414491326154,0.0056251492918659,-0.0006288835460973428,0.4950105209879598,0.0010218153989664841,0.0299174357573036,0.00014951123982205706,0.228427115103608,-0.005715518968161114,0.6655599975585937,0.008634698050362719,0.0506869983673095,-0.000820628574916286,0.949312973022461,0.000820628574916287,0.09881103734,0.0003882527514285698,0.1116341972351074,0.0022393294743129305,0.0385746002197265,0.0003144141605922141,5145.166015625,124.86551339285714,,,0.4944691848754883,0.007522561209542422,,,256744.0,2039.857142857143,7395599.0,-84590.14285714286,0.0347157816425687,0.0007314607890269284,0.8883005976676941,0.0008967433656964983,0.764769971370697,0.07610858338219785,,,1.55535979911015,0.1700809944912086,6428.71742590538,209.99850060444857,2.43899060504113,-0.05391348722996003,0.3,0.0,High income,1
9,BHR,2010,2017,8.434067800000001,0.16799031428571404,7.9549346,0.1678664857142859,8.913201,0.1681141428571427,,,,,,,0.0850157902119642,0.0193485202867964,0.110799898396715,0.0047671934733308574,0.107038302163619,0.003595219270748714,0.341869652084573,-0.03183473870979357,0.0042498985862737,-0.0003845742233768286,0.0661403262678611,-0.004084699598907628,0.0784331863624129,0.004773919743268444,0.0358439707170235,-0.003269449910381028,0.117012105197311,-0.0009962603789867158,0.0526888854347142,0.008214582129805815,0.9990920154224676,0.00012971208250445176,,,,,1.0,0.0,,,,,,,,,,,0.2019284353494648,,,,,,,,0.1170121052,-0.0009962603857142846,0.0862552422968447,-0.0020023920803964135,0.0235114974984976,-0.00019254234872337152,,,,,,,,,95214.0,2686.4285714285716,1228543.0,38939.0,0.0775015607919299,-0.00022077221497098548,,,,,29.0713708137176,6.921967448255001,4.3342989754845,0.08850519510743864,22224.0736166249,197.54473335805702,1.96188468334623,-0.08216662536888143,0.43,0.0,High income,1
