iso3,year,sap,pop_total,sap_share,hh_exp_pct,private_enrolment_pct
ABW,2010,8229.0,101838.0,0.08080480763565663,,74.02110290527344
ABW,2011,8566.0,102591.0,0.0834966030158591,,75.84503936767578
ABW,2012,8540.0,104110.0,0.08202862357122274,,74.47119903564453
ABW,2013,8515.0,105675.0,0.08057724154246511,,73.00826263427734
ABW,2014,8443.0,106807.0,0.07904912599361465,,73.42095184326172
ABW,2015,8327.0,107906.0,0.07716901747817545,,
ABW,2016,8264.0,108727.0,0.07600687961591877,,
ABW,2017,8225.0,108735.0,0.07564261737251116,,
ABW,2018,8090.0,108908.0,0.07428288096374921,,
ABW,2019,8000.0,109203.0,0.07325806067598875,,
ABW,2020,7878.0,108587.0,0.0725501211010526,,
ABW,2021,7733.0,107700.0,0.0718012999071495,,
ABW,2022,7517.0,107310.0,0.07004938961886124,,
ABW,2023,7370.0,107359.0,0.06864818040406487,,
ABW,2024,7166.0,107995.0,0.06635492383906662,,
ABW,2025,7632.0,,,,
AFG,2010,5101508.0,28284089.0,0.18036670723246556,,
AFG,2011,5211262.0,29347708.0,0.17756964189503316,,1.671429991722107
AFG,2012,5411706.0,30560034.0,0.17708442340083783,,2.481329917907715
AFG,2013,5545776.0,31622704.0,0.17537323816457948,,
AFG,2014,5661283.0,32792523.0,0.17263944588832034,,2.477649927139282
AFG,2015,5806053.0,33831764.0,0.1716154380835714,,3.265239953994751
AFG,2016,5866992.0,34700612.0,0.16907459730105048,,4.123250007629395
AFG,2017,5960384.0,35688935.0,0.16700929854028987,,4.799270153045654
AFG,2018,6077675.0,36743039.0,0.16541024274012828,,5.951280117034912
AFG,2019,6213858.0,37856121.0,0.16414407593424588,,7.298679828643799
AFG,2020,6368936.0,39068979.0,0.1630177230892059,,
AFG,2021,6559317.0,40000412.0,0.16398123599326928,,
AFG,2022,6633091.0,40578842.0,0.16346181096050005,,
AFG,2023,6689083.0,41454761.0,0.16135861933928408,,10.29668045043945
AFG,2024,6839359.0,42647492.0,0.16036954763951888,,
AFG,2025,6990584.0,,,,
AGO,2010,3752445.0,23294825.0,0.16108491907537403,,1.946009993553162
AGO,2011,3915372.0,24218352.0,0.16166962970890836,,3.002599954605103
AGO,2012,4089885.0,25177394.0,0.16244274526585237,,
AGO,2013,4274245.0,26165620.0,0.16335347681423182,,
AGO,2014,4465470.0,27160769.0,0.16440882067808904,,
AGO,2015,4661554.0,28157798.0,0.16555108464092255,,14.11855983734131
AGO,2016,4861708.0,29183070.0,0.1665934392783213,,
AGO,2017,5062538.0,30234839.0,0.16744054764108385,,
AGO,2018,5262059.0,31297155.0,0.16813218326074686,,
AGO,2019,5460409.0,32375632.0,0.16865798944094743,,
AGO,2020,5656961.0,33451132.0,0.16911119779145292,,
