COUNTRY,COUNTRY_label,TIME_PERIOD,"General public services, Transactions","Defence, Transactions","Public order and safety, Transactions","Economic affairs, Transactions","Environmental protection, Transactions","Housing and community amenities, Transactions","Health, Transactions","Recreation, culture and religion, Transactions","Education, Transactions","Social protection, Transactions",sector_sum_before_norm,sector_sum_pct
AFG,"Afghanistan, Islamic Republic of",2016,6.790749032686538,37.30350010690513,18.718565867082667,15.931897992873672,0.2698387806222725,2.7389776635244054,3.9273962801194635,0.597086047432033,8.260236207133955,5.461752021619871,100.00000000000017,100.0
AFG,"Afghanistan, Islamic Republic of",2017,5.806076442491105,36.314865636925404,19.58179407525575,19.13130115914265,0.384319652106871,1.3453554229569864,4.464524041910729,0.6627445070504122,8.20247206254444,4.106546999615669,100.00000000000026,100.00000000000003
AGO,Angola,2016,24.654153859694482,14.380665764853207,13.245053688094217,16.789041718068574,0.05398551826498258,3.4355168721382,5.582860294777544,0.5066272118127854,10.821701072914966,10.530393999381026,100.00000000000003,99.99999999999997
AGO,Angola,2017,26.29155687705098,13.153489374283762,10.753201261431352,19.782267662725253,0.563386804399161,6.374908889911611,4.490595843721555,0.7832754716823814,8.76029685723336,9.047020957560598,99.99999999999999,100.0
AGO,Angola,2021,34.5489120622826,7.940384764724912,7.229425385465031,24.742179592238234,0.03631882222407586,7.401131826296408,7.866750525727498,0.5263951330653482,7.352032468112801,2.356469419863103,100.00000000000038,100.0
ALB,Albania,2016,19.64228615777136,2.429795241197681,5.980794171903986,10.47844365062889,0.641341192353308,5.954154076861715,9.82697287648183,1.493803081446985,10.82978737255735,32.7226221787969,100.0,100.0
ALB,Albania,2017,17.6008416644183,2.415379656790993,5.896947731077717,11.91844644173307,0.6302445463997512,7.760021513712013,10.00496809674464,1.420723449306331,10.57019058122099,31.78223631859619,100.0,100.0
ALB,Albania,2018,18.255500970479694,2.3617496666444096,6.06433893124974,9.79338703035383,0.30093469670099415,8.134023116806913,10.417648429522762,1.5692389071400141,10.970696745127551,32.132481505974106,99.99999999999999,100.00000000000003
ALB,Albania,2019,17.17326073271976,2.73052269423575,6.327940709201557,9.714411991845376,0.6397762398779947,7.495789397830264,10.47853960854169,1.496578289155394,11.40018017848961,32.5430001581026,100.0,100.0
ALB,Albania,2020,15.59737482877381,2.359966213661832,6.051864035366807,10.98175019699714,0.9914593149814694,9.678866590078712,9.655279710484947,1.280524450328199,10.13438364038137,33.26853101894571,100.0,100.0
ALB,Albania,2021,15.319851661047371,2.362974581845626,5.834684096076204,12.24625635976424,0.9229170444033024,11.07645774500189,10.70352647891818,1.27007701211865,9.833778123567576,30.42947689725696,100.0,100.0
ALB,Albania,2022,14.48811914579598,2.416394028550847,5.683550384379358,15.28833686826309,1.09440471360105,8.828136411936661,9.924899773151465,1.6605485976928993,9.796485724275204,30.819124352353438,100.0,100.0
ALB,Albania,2023,16.757288760994417,2.9037356105685816,6.7116748424559916,12.736556569942959,1.0316747352097357,7.603686649673098,9.634378145238541,1.7124099261773367,10.051771641140318,30.856823118599014,100.00000000000001,99.99999999999999
