COUNTRY,COUNTRY_label,TIME_PERIOD,"Education n.e.c., Transactions","Education not definable by level, Transactions","Education, Transactions","Post-secondary non-tertiary education, Transactions","Pre-primary and primary education, Transactions","R&D Education, Transactions","Secondary education, Transactions","Subsidiary services to education, Transactions","Tertiary education, Transactions"
AFG,"Afghanistan, Islamic Republic of",2016,0.0384337165924751,0.540471913302031,8.26023620713397,0.218737854911227,5.61447980792889,0.0020557738304809,0.0372406450025169,0.264107562861217,1.54470893270513
AFG,"Afghanistan, Islamic Republic of",2017,2.05982857963292,0.450552650838193,8.20247206254446,0.169345268592848,3.49438780310368,0.184499649461091,0.0179702626137266,0.292505210724007,1.53338263757798
AGO,Angola,2016,0.0005766758184161,0.0,10.82170107291497,0.0,6.457833007109248,6.7655741166e-06,2.365661983062042,0.2433534487211999,1.754269192629949
AGO,Angola,2017,0.0003079079666764,0.0,8.760296857233358,0.0,5.363907680593774,0.0,1.821529223285681,0.0858150738486313,1.488736971538595
AGO,Angola,2021,0.7730992386675631,0.0239930640536593,7.35203246811283,0.0,2.371203861084641,0.0187398423352143,3.635884765230349,0.0755824895847042,0.4535292071566997
ALB,Albania,2016,0.0161086203281622,0.0,10.82978737255735,0.0,6.119776264566062,0.0807123197125398,2.312395503433987,0.0,2.300794664516594
ALB,Albania,2017,0.0197201673180859,0.0,10.57019058122099,0.0,5.99647291604115,0.0828913264134422,2.243552339185995,0.0,2.227553832262317
ALB,Albania,2018,0.0235251054606497,0.0,10.97069674512755,0.0,6.250454276249153,0.0881968236260597,2.373046649331729,0.0009694061169398,2.234504484343018
ALB,Albania,2019,0.0324561120363073,0.0,11.40018017848961,0.0,6.342925020309469,0.1041695222682995,2.489252560182718,0.0,2.431376963692819
ALB,Albania,2020,0.0319376418525381,0.0,10.13438364038137,0.0,5.635592947539845,0.1177397589560522,2.198267982286652,0.0,2.150845309746279
ALB,Albania,2021,0.0403982396611527,0.0,9.833778123567576,0.0,5.67412832809684,0.0757064998076276,2.047020375444774,0.0,1.996524680557183
ALB,Albania,2022,0.0459033899711059,0.0,9.796485724275204,0.0,5.572742177453784,0.1511743760145228,2.056981873797756,0.0,1.969683907038037
ALB,Albania,2023,0.0686599475893499,0.0,10.05177164114032,0.0,5.565748584088737,0.111372259057505,2.07570960156377,0.0,2.230281248840958
ALB,Albania,2024,0.0635363430285681,0.0,10.09729424865754,0.0,5.435425642611532,0.1537370735097222,2.07728681081249,0.0,2.367308378695229
AND,"Andorra, Principality of",2018,5.775022153149778,0.7075388450671378,9.975599698906612,0.0,0.6912739407327103,0.3098818177150412,1.532737008787006,0.6391277422090615,0.320018191245886
AND,"Andorra, Principality of",2019,5.530588015063235,0.7043159974829336,9.6663546604836,0.0,0.87273291529005,0.2468633392173266,1.463209638796283,0.5331056674179874,0.3155390872157873
AND,"Andorra, Principality of",2020,5.53405186703697,0.6710223554305124,9.399712100286903,0.0,0.8617011655168075,0.2480873826181725,1.470249968128134,0.2954753393675869,0.3191240221887201
AND,"Andorra, Principality of",2021,5.435454801921072,0.7077154253073535,9.366763464633427,0.0,0.9195231190023608,0.1839035424709999,1.46029771897216,0.3221542778953859,0.3377145790640949
AND,"Andorra, Principality of",2022,4.956144134911405,0.7235275557484652,8.483500899400873,0.0,0.669878482892543,0.0219156168301491,1.470604702979409,0.2693760877124752,0.3720543183264285
AND,"Andorra, Principality of",2023,4.685424236121544,0.8914329350426128,8.207081495752211,0.0,0.6409715615427024,0.0183059847064189,1.390842325358914,0.2101243144446306,0.3699801385353904
AND,"Andorra, Principality of",2024,4.417504903378015,0.8523567241095575,7.753830894828474,0.0,0.6198050509344496,0.0265448177547776,1.283402331998948,0.1861335573269153,0.3680835093258089
ARE,United Arab Emirates,2024,4.392516000745367,0.0708834425356366,6.220434270380187,0.0382105773045526,0.0354661605251464,0.0888882168148407,0.0,0.0308134175274478,1.563656454927219
ARG,Argentina,2016,,,6.846975221815845,,,,,,
ARG,Argentina,2017,0.0296219141607068,0.0996172036199836,7.683218569813018,0.0,0.0,0.0719946019832154,0.8302147369104314,2.360809321483722,4.290960791654959
ARG,Argentina,2018,0.0920092754890371,0.0132517586312938,7.616208035659007,0.0,0.0,0.0472520541824804,0.794464166081844,1.93371715212848,4.735513629145872
ARG,Argentina,2019,0.0840663690947161,0.0061981258126765,6.377867896902676,0.0,0.0,0.0356394963498952,0.7165734479391911,1.558918666127797,3.976471791578401
ARG,Argentina,2020,0.039448127537345,0.0048335728551901,5.823959962607213,0.0,0.0,0.0204969167168563,0.5996452167059585,1.368223164556019,3.791312964235844
ARG,Argentina,2021,0.0363976671893663,0.0082874828484819,6.830567022458904,0.0,0.0,0.0292988751054551,0.6102930850717908,2.370205953590412,3.776083958653398
ARG,Argentina,2022,0.0479816769268223,0.0056420129645253,7.608707604118595,0.0,0.0,0.0221818867283287,0.6802837581431945,2.811155113453425,4.0414631559023
ARG,Argentina,2023,0.0525557907361619,0.0075803313943813,9.00642760283047,0.0,0.0,0.0355881638701621,0.7269883172415914,3.631920627164178,4.551794372423996
ARG,Argentina,2024,0.0967816956888634,0.0038356913146053,8.095088062746123,0.0,0.0,0.0224926903298002,0.8137387303219863,1.787335203879453,5.370904051211416
ARM,"Armenia, Republic of",2016,0.0699783244670246,0.4210104194220019,8.447907228353733,0.6235205317730009,2.029045499098603,0.0,3.807779216118267,0.6936041855270022,0.8029690519478333
ARM,"Armenia, Republic of",2017,-2.43030581896658,0.9192448989968593,8.891125987973336,0.695627131776294,3.54564031171247,5.0076719598e-06,4.195064075538053,0.7955117704871512,1.170338610757155
ARM,"Armenia, Republic of",2018,-2.288602330326926,0.9234694446290056,8.988577025658119,0.6980279280854798,3.586413816913994,3.5991029251e-06,4.179555364587609,0.8349889778609958,1.054720224805035
ARM,"Armenia, Republic of",2019,-0.4208178011488913,0.8291524905216788,10.00509266019051,0.6086407297740217,3.291215497693539,0.0,3.949607695187618,0.8966582504357103,0.850635797726836
ARM,"Armenia, Republic of",2020,0.1041967959920368,0.3496228724519741,9.572379842373712,0.5978913623794805,2.973445494442633,0.0,3.686552579961806,1.083055745244478,0.7776149919013035
ARM,"Armenia, Republic of",2021,0.0998417823189955,0.4104785778843895,9.66730410333758,0.573387143196908,3.293776597854044,0.0,3.342813123979789,1.108290319841305,0.8387165582621477
ARM,"Armenia, Republic of",2022,0.0948390934580825,0.4341018972707417,9.702664115888812,0.5022102791464821,3.057596217994148,0.0002196289382349,3.231599765213465,1.628769756757962,0.7533274771096959
ARM,"Armenia, Republic of",2023,0.0908564216924501,0.8313050130132568,9.961885737560737,0.4786110484843238,3.108613786227864,3.8583772428e-06,2.902223314165024,1.85445048744884,0.6958218081517334
ARM,"Armenia, Republic of",2024,0.0831351144761289,0.6804140757906544,10.51869586351062,0.436536680997752,3.267976868567698,0.0,4.066019502123349,1.344417555031848,0.6401960665231842
AUS,Australia,2016,1.30845466741359,0.314804022388216,14.890553134883,1.1299042834334,3.88468163627059,0.0,3.6184704399023,0.250228838308582,4.38400924716636
AUS,Australia,2017,1.23232892666427,0.392449604143178,14.8495867973387,1.02232037764369,3.96817038569712,0.0,3.66059149310503,0.239124778530807,4.33460123155456
AUS,Australia,2018,1.16074693593479,0.431888690974721,15.1084366484612,1.0855461054817,4.05686362403124,0.0,3.70120793177073,0.230910785273613,4.44097766977693
AUS,Australia,2019,1.16711777380717,0.411571385962809,15.2933683069127,1.08753522677542,4.14107992540704,0.0,3.65550095192434,0.264949950800982,4.56561309223492
AUS,Australia,2020,1.17944123745602,0.394953267877054,14.4562529049535,1.22531843107223,3.85344343859801,0.0,3.46246378591606,0.231914632296099,4.10871811173806
AUS,Australia,2021,1.21204789338425,0.481832905013198,13.1453956130427,1.01488984652407,3.58720837720073,0.0,3.19234734692187,0.211653359315908,3.4454158846827
AUS,Australia,2022,1.07611783927786,0.729988473290624,13.944693667309,1.0335761889243,3.8678999735345,0.0,3.52166124597823,0.216207821976863,3.49946084746467
AUT,Austria,2016,0.1569355193575116,0.4653200407303038,9.739157513299109,0.0228076805016956,2.872233519519161,0.0764165693046086,4.229637933213908,0.4423789494725661,1.473432859980853
AUT,Austria,2017,0.1584973130944709,0.4393452526594865,9.788241572551536,0.0225752687192711,2.943537157869396,0.0733874012933709,4.25785869063332,0.4315338924144854,1.461501125727508
AUT,Austria,2018,0.155165098234764,0.4324698062918892,9.778937927057164,0.0216293317741946,2.986127595533089,0.0716216051162689,4.188905368885519,0.4208028183449446,1.502210992458676
AUT,Austria,2019,0.1589580442197251,0.4601129524185038,9.861676453041508,0.0202041287033923,3.036603232402887,0.0716215746077396,4.127626182386072,0.430853044599841,1.555702447817812
AUT,Austria,2020,0.1368018815215299,0.433279389113144,8.826071148910922,0.0164714825812121,2.729208550998767,0.0674968220456635,3.631991740485436,0.3893355480111362,1.421485734154034
AUT,Austria,2021,0.1331663253644188,0.4560711530590065,8.74945209848806,0.0155218619624819,2.717204771065281,0.0681784163323738,3.583194587282392,0.3952581502739486,1.380852438510003
AUT,Austria,2022,0.1423381453580455,0.4355158109393406,8.956347604282726,0.0190577039118637,2.829449182769096,0.0686497576856021,3.59474521740932,0.4075449008539238,1.459046885355535
AUT,Austria,2023,0.1458782351977778,0.4541289197899774,9.354877475251351,0.0268010904972246,3.052903184463414,0.071955407161163,3.689966109368605,0.4241398044455922,1.489108739472241
AUT,Austria,2024,0.1635921090674816,0.4680443808730625,9.588104188013848,0.0292031648043325,3.140683334212821,0.0727451680466298,3.790572261498668,0.419703166200734,1.503560603310118
AZE,"Azerbaijan, Republic of",2016,1.663012398025004,0.0171652767252125,9.445950809668432,0.0,0.8259527271308154,0.0,5.626171877228488,0.0,1.313648530558913
AZE,"Azerbaijan, Republic of",2017,1.698899617494938,0.0152862749887072,7.820628131722511,0.0,0.6619806307609618,0.0,4.410514952991732,0.0,1.033946655486172
AZE,"Azerbaijan, Republic of",2018,1.931267491357964,0.0107278884705608,8.454236292553976,0.0,0.7096910834371016,0.0,4.790002202105414,0.0,1.012547627182934
AZE,"Azerbaijan, Republic of",2019,1.589188692032872,0.0064080189194873,8.593153371032589,0.0,0.8221111331412938,0.0,5.137346461981978,0.0,1.038099064956957
AZE,"Azerbaijan, Republic of",2020,1.783443557458741,0.0091702487243165,9.80201093365359,0.0,0.7502961650699113,0.013585553665654,6.164444975790543,0.0,1.081070432944424
AZE,"Azerbaijan, Republic of",2021,2.270210031833094,0.0,10.78862740420549,0.0,0.9728029948231306,0.0,6.301354945374034,0.0,1.244259432175228
AZE,"Azerbaijan, Republic of",2022,2.021745230401261,0.0,10.36503615148926,0.0,1.01910706755518,0.0141227682758966,6.157786448818132,0.0,1.152274636438793
AZE,"Azerbaijan, Republic of",2023,2.17232440512794,0.0,10.15182405250334,0.0,0.8822400188224893,0.0142261895213158,5.959506693926004,0.0,1.123526745105588
BEL,Belgium,2016,0.2036955378833932,0.973202302751616,11.71159753502615,0.0103136981206781,3.835297233350479,0.0017917865379144,4.619181992632698,0.4407357862162669,1.627379197533103
BEL,Belgium,2017,0.2224410968986379,1.089900975746759,11.9445174266378,0.0101815552498212,3.871665810294329,0.0031062371948607,4.618672713475073,0.4708106459377105,1.657695249657343
BEL,Belgium,2018,0.2115110283152663,1.118241675097656,11.83304441897518,0.0114072431431061,3.850421590966127,0.0010370221039187,4.546968597726267,0.4294930745589856,1.663964187063854
BEL,Belgium,2019,0.1986672253468921,1.044826030200964,11.82108265781373,0.0086622294564148,3.856908027267893,0.0017727353306151,4.57236789092843,0.4124027010040128,1.725475818278513
BEL,Belgium,2020,0.1903276246109366,1.069906034724373,11.1534348217315,0.0078919030549777,3.603907598353764,0.0022495611511852,4.281025504860527,0.4047734950067118,1.593389978020681
BEL,Belgium,2021,0.1892326547521779,1.083646443490569,11.30771200386665,0.0060416354994994,3.652456356375939,0.0031646662140234,4.297005362670748,0.433451384973014,1.642713499890675
BEL,Belgium,2022,0.1751999760735629,1.121993561613294,11.81887823074873,0.0077149165021724,3.77531308286704,0.0046901254506598,4.469689554478866,0.4725131459458284,1.791729881401002
